fs,fft_x_mag,fft_y_mag,fft_z_mag,psd_x,psd_y,psd_z
0.0,0.0834545915,0.9174905607,10.4661864391,0.0,0.0,0.0
0.125,0.040531265569955614,0.035219276958382985,0.012984832423357521,0.006571133954809078,0.004961589877885146,0.0006744234922507069
0.25,0.03429606359326598,0.002311234708348695,0.01182285543625478,0.0047048799119733765,2.1367223508302707e-05,0.0005591196426663169
0.375,0.011927762398590232,0.007804069822184854,0.018435898746293707,0.000569086063348892,0.00024361402315814537,0.0013595294503343754
0.5,0.010290413139618622,0.008699617571299858,0.015149492205097885,0.00042357041033614236,0.00030273338354747694,0.0009180284562892864
0.625,0.01343770629891548,0.014354636679041898,0.02134316017873252,0.0007222878023036511,0.00082422237674918,0.001822121945660134
0.75,0.015613536382638595,0.0051486226001265034,0.010315789047232226,0.0009751300734879164,0.00010603325871413359,0.0004256620146679854
0.875,0.008268835521429362,0.0031847168332344135,0.004964097103009926,0.00027349456352180793,4.0569685231546523e-05,9.856904019244616e-05
1.0,0.006482675485294396,0.004631205019411943,0.01389675690330224,0.00016810032579054774,8.579223972730549e-05,0.0007724794097179139
1.125,0.01097859865604894,0.008314215916701144,0.014588260772041518,0.0004821185138023984,0.00027650474523810653,0.0008512694094123416
1.25,0.009714447621124654,0.0035077837528007666,0.011221987096962914,0.0003774819703342978,4.921818742565212e-05,0.0005037319776176086
1.375,0.008285435405034037,0.006424011541908471,0.017007086831819795,0.0002745937594039661,0.000165071697162293,0.001156964010020233
1.5,0.008023886420401562,0.007823947703042356,0.005443032957096267,0.00025753101315001837,0.0002448566306397671,0.00011850643108814454
1.625,0.012047907438436093,0.003166647574203532,0.00988781192707656,0.000580608294580495,4.011062743683645e-05,0.00039107529882094987
1.75,0.0009477901972652497,0.019179898661623288,0.03716258047797104,3.5932250321284038e-06,0.0014714740506805552,0.005524229551126697
1.875,0.007661137863443316,0.021642194594305702,0.035194529568315466,0.00023477213345073926,0.0018735383474311799,0.004954619646140126
2.0,0.01721271273300993,0.017744087947061445,0.026672763190164636,0.0011851099185164885,0.001259410628292205,0.002845745184794406
2.125,0.006860772658135273,0.006229333395912273,0.007107303349047903,0.00018828080586646618,0.0001552183782297117,0.00020205504358155016
